ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
12, California,San Bernardino County,2056915,31.9,54090,21332,375280,18.24479864,2013
13, California,Santa Clara County,1812208,36.4,91702,41513,181376,10.00856414,2013
15, California,Placer County,355924,40.4,72725,34886,30850,8.667580719,2013
21, California,Butte County,220542,37,43752,23787,43942,19.92454952,2013
17, California,Shasta County,177966,42.1,44651,23670,30575,17.18024791,2013
18, California,Solano County,417258,37.1,67177,28929,52358,12.54811172,2013
19, California,Del Norte County,28357,39.1,37909,19072,5406,19.06407589,2013
20, California,Glenn County,28054,37.2,43023,22148,5198,18.52855208,2013
54, California,San Joaquin County,693177,32.9,53380,22589,123115,17.76097591,2013
16, California,Siskiyou County,44503,47.1,37709,22293,9216,20.70871627,2013
9, California,Trinity County,13638,49.8,36890,22905,2579,18.91039742,2013
3, California,Humboldt County,134613,37.5,41426,23540,26600,19.76035004,2013
55, California,Lake County,64260,45.1,36548,21537,15860,24.6809835,2013
11, California,Riverside County,2228528,33.9,56529,23591,355511,15.95272754,2013
23, California,San Luis Obispo County,272094,39.5,58697,29954,36588,13.44682352,2013
10, California,Los Angeles County,9893481,35.1,55909,27749,1737224,17.55927969,2013
22, California,Plumas County,19586,49.9,45794,29806,2917,14.89329113,2013
25, California,Ventura County,829017,36.6,76544,32930,90471,10.91304521,2013
7, California,Mendocino County,87497,41.8,43469,23306,17221,19.68181766,2013
6, California,Madera County,151435,33.2,45625,17847,32604,21.53002939,2013
8, California,Santa Cruz County,264808,36.9,66519,32295,37239,14.06264161,2013
4, California,Nevada County,98509,48.5,57353,32346,11696,11.87302683,2013
0, California,San Diego County,3138265,34.8,62962,30668,441648,14.07299893,2013
2, California,Yolo County,202288,30.7,55918,27730,37188,18.38369058,2013
1, California,Tulare County,446644,29.9,42708,17894,115313,25.81765343,2013
24, California,Kern County,848204,30.8,48552,20295,186811,22.02430076,2013
5, California,Alpine County,1165,44.3,58636,25527,184,15.79399142,2013
7, California,San Francisco County,829072,38.6,78378,49986,108328,13.06617519,2014
29, California,Tulare County,451108,30.1,42863,17888,122044,27.05427525,2014
3, California,Santa Barbara County,431555,33.6,63409,30526,68953,15.97780121,2014
4, California,Imperial County,177026,31.9,41772,16409,38935,21.99394439,2014
5, California,Alameda County,1559308,36.9,73775,36439,197191,12.64605838,2014
12, California,Sutter County,95067,35,51527,23828,15824,16.64510293,2014
2, California,Inyo County,18439,45.3,45625,27028,2445,13.25993817,2014
8, California,Colusa County,21424,34.1,50503,22211,3068,14.32038835,2014
10, California,Fresno County,948844,31.2,45201,20231,255019,26.8768101,2014
11, California,Orange County,3086331,36.7,75998,34416,391705,12.69160696,2014
13, California,San Joaquin County,701050,33.2,53253,22642,132986,18.96954568,2014
6, California,Napa County,139253,40.3,70925,35092,13948,10.01630126,2014
9, California,Kings County,151390,31.2,47341,18518,30244,19.97754145,2014
24, California,Sierra County,3019,53.5,43107,28030,487,16.13116926,2014
21, California,Tehama County,63284,40,42369,21002,11604,18.33638834,2014
30, California,Yolo County,204162,31,55508,28080,39333,19.26558321,2014
14, California,Merced County,261609,30.2,43066,18464,65552,25.05724191,2014
26, California,El Dorado County,181465,44.4,68507,35128,18497,10.19315019,2014
25, California,Sacramento County,1450277,35.3,55615,27071,258031,17.79184252,2014
1, California,Modoc County,9335,47.1,38560,21830,1892,20.26780932,2014
22, California,Mono County,14193,37.2,61814,29578,704,4.960191644,2014
20, California,Sonoma County,491790,40.5,63799,33361,59716,12.14258118,2014
19, California,Stanislaus County,522794,33.3,49573,21729,104786,20.0434588,2014
18, California,Lassen County,33356,37.3,53351,19847,3856,11.56013911,2014
17, California,Contra Costa County,1081232,38.7,79799,38770,114171,10.55934342,2014
28, California,San Diego County,3183143,34.9,63996,31043,455855,14.32090861,2014
16, California,Yuba County,73059,32.1,45470,19586,15926,21.79882013,2014
23, California,San Benito County,56888,34.8,67874,26317,6864,12.06581353,2014
15, California,Mariposa County,17946,50.2,50560,28327,2902,16.17073443,2014
50, California,Plumas County,19286,50.6,48032,29167,3006,15.58643576,2014
27, California,Monterey County,424927,33.3,58582,25048,69898,16.44941366,2014
40, California,San Bernardino County,2078586,32.2,54100,21384,389037,18.71642549,2014
39, California,Riverside County,2266899,34.2,56592,23660,376737,16.61904655,2014
38, California,Trinity County,13515,50,36862,23145,2489,18.41657418,2014
36, California,Mendocino County,87612,42,43290,23712,17395,19.85458613,2014
0, California,Lake County,64209,45.2,35997,21310,15395,23.9763896,2014
34, California,Madera County,152452,33.3,45490,17797,33290,21.83638129,2014
33, California,Alpine County,1202,43.6,61343,24375,179,14.89184692,2014
32, California,Nevada County,98606,48.8,56949,32117,12163,12.33494919,2014
56, California,Tuolumne County,54347,48.2,48493,26063,7444,13.6971682,2014
42, California,Marin County,256802,45.1,91529,58004,21917,8.534590852,2014
35, California,Los Angeles County,9974203,35.3,55870,27987,1805868,18.10538647,2014
57, California,Amador County,37159,49.6,52964,27373,4277,11.50999758,2014
41, California,Santa Clara County,1841569,36.6,93854,42666,180153,9.782582135,2014
45, California,Shasta County,178520,41.9,44556,23763,31616,17.7100605,2014
53, California,Ventura County,835790,36.9,77335,33308,91912,10.99702078,2014
44, California,Siskiyou County,44261,47.3,37495,22482,9945,22.46899076,2014
46, California,Solano County,421624,37.2,67341,29132,53317,12.64562738,2014
47, California,Del Norte County,28066,39.2,39302,19424,5468,19.48264804,2014
48, California,Glenn County,28019,36.7,40106,21698,5517,19.69021021,2014
49, California,Butte County,221578,36.9,43165,24430,46643,21.05037504,2014
37, California,Santa Cruz County,267203,36.9,66923,33050,39252,14.68995483,2014
51, California,San Luis Obispo County,274184,39.5,59454,30392,38121,13.90343711,2014
54, California,Calaveras County,44921,50.3,54936,29296,5352,11.91424946,2014
55, California,San Mateo County,739837,39.4,91421,47198,55672,7.524900755,2014
43, California,Placer County,361518,40.7,73747,35711,32018,8.856543796,2014
31, California,Humboldt County,134876,37.4,42153,23516,27325,20.25934933,2014
52, California,Kern County,857730,31,48574,20467,192972,22.49798888,2014
42, California,Tuolumne County,54079,48.6,50306,27054,7010,12.9625178,2015
52, California,Colusa County,21396,34,52168,21897,3171,14.8205272,2015
50, California,Napa County,140295,40.3,71379,36475,14020,9.993228554,2015
49, California,Alameda County,1584983,37.1,75619,37285,194639,12.2801948,2015
53, California,Kings County,150998,31.4,46481,18707,29900,19.80158678,2015
45, California,Modoc County,9184,47.8,37860,21001,1673,18.21646341,2015
44, California,Lake County,64158,45.5,35578,21407,15597,24.31029646,2015
43, California,Amador County,36995,50,54171,27473,4191,11.32855791,2015
29, California,Placer County,366280,41,73948,36022,32427,8.85306323,2015
48, California,Imperial County,178206,32.2,41079,16143,40114,22.50990427,2015
39, California,Ventura County,840833,37.1,77348,33435,91880,10.92725904,2015
47, California,Santa Barbara County,435850,33.6,63985,30589,68017,15.60559826,2015
41, California,San Mateo County,748731,39.5,93623,48278,59232,7.910985387,2015
54, California,Fresno County,956749,31.4,45233,20408,252187,26.35874195,2015
51, California,San Francisco County,840763,38.5,81294,52220,109524,13.02673881,2015
38, California,Kern County,865736,31.1,49026,20644,195744,22.61012595,2015
31, California,Shasta County,178942,42.2,44620,24107,31707,17.71914922,2015
40, California,Calaveras County,44767,50.7,53233,29553,5590,12.48687649,2015
37, California,San Luis Obispo County,276517,39.3,60691,31060,38630,13.97020798,2015
57, California,San Joaquin County,708554,33.5,53274,22645,129390,18.26113465,2015
28, California,Marin County,258349,45.4,93257,60236,20964,8.114604663,2015
30, California,Siskiyou County,43895,47.8,37170,22561,10026,22.84087026,2015
32, California,Solano County,425753,37.3,66828,29185,55534,13.04371314,2015
33, California,Del Norte County,27788,38.8,40847,19560,5207,18.7383043,2015
34, California,Glenn County,28029,37.2,39349,21313,5721,20.41100289,2015
35, California,Butte County,222564,36.8,43444,24259,47532,21.35655362,2015
46, California,Inyo County,18373,45.7,45955,27850,2019,10.98895118,2015
56, California,Sutter County,95247,35.4,52017,23689,16743,17.57850641,2015
36, California,Plumas County,18966,51.3,47333,30842,2687,14.16745756,2015
27, California,Santa Clara County,1868149,36.8,96310,43880,175690,9.404496108,2015
5, California,Stanislaus County,527367,33.5,50125,21922,105927,20.08601221,2015
19, California,Alpine County,1131,43.6,52917,21415,195,17.24137931,2015
14, California,San Diego County,3223096,35.1,64309,31266,454876,14.11301432,2015
15, California,Tulare County,454033,30.3,42031,17876,125775,27.70173093,2015
16, California,Yolo County,207320,30.9,54989,28116,39688,19.14335327,2015
17, California,Humboldt County,135034,37.4,42197,23367,28158,20.85252603,2015
18, California,Nevada County,98570,49,56521,32442,12367,12.54641372,2015
21, California,Mendocino County,87544,42.2,42980,24059,17527,20.02078955,2015
20, California,Madera County,153187,33.5,45073,17970,33968,22.17420538,2015
22, California,Santa Cruz County,269278,37,67256,33241,39053,14.50285578,2015
23, California,Trinity County,13373,50.3,34974,22975,2562,19.15800494,2015
24, California,Los Angeles County,10038388,35.6,56196,28337,1800265,17.93380571,2015
55, California,Orange County,3116069,37.1,76509,34817,395483,12.69172794,2015
13, California,Sierra County,3021,54.5,42833,29986,438,14.49851043,2015
25, California,Riverside County,2298032,34.5,56603,23783,379985,16.53523537,2015
11, California,El Dorado County,182093,44.9,69584,35588,18831,10.34141895,2015
0, California,Merced County,263885,30.4,42462,18204,67417,25.54787123,2015
10, California,Sacramento County,1465832,35.5,55987,27315,262251,17.89093157,2015
9, California,San Benito County,57557,35,71077,27239,6202,10.77540525,2015
8, California,Mono County,14146,38.5,56944,29437,684,4.835289128,2015
6, California,Sonoma County,495078,40.8,64240,34235,57179,11.54949321,2015
7, California,Tehama County,63152,40.5,41001,21263,12313,19.49740309,2015
4, California,Lassen County,32645,37,51555,19274,3563,10.91438199,2015
2, California,Yuba County,73437,32.1,46892,20471,15862,21.59946621,2015
1, California,Mariposa County,17789,50.6,47681,28316,2651,14.90246782,2015
26, California,San Bernardino County,2094769,32.5,53433,21352,397766,18.98853764,2015
12, California,Monterey County,428441,33.5,58783,24994,69475,16.21576833,2015
3, California,Contra Costa County,1096068,38.8,80185,39313,117915,10.75800042,2015
16, California,Siskiyou County,43668,47.9,38524,23542,9524,21.81002107,2016
23, California,San Luis Obispo County,278680,39,64014,32335,37208,13.35151428,2016
17, California,Shasta County,179228,42.3,45582,25094,30945,17.26571741,2016
10, California,Los Angeles County,10057155,35.8,57952,29301,1764081,17.54055695,2016
6, California,Madera County,153366,33.5,45742,19021,32043,20.89315754,2016
13, California,Santa Clara County,1885056,36.8,101173,46034,172213,9.135696764,2016
8, California,Santa Cruz County,270931,37,70088,34732,39211,14.47268862,2016
9, California,Trinity County,13180,50.6,35270,22387,2607,19.77996965,2016
5, California,Alpine County,1184,42.8,62375,26783,221,18.66554054,2016
11, California,Riverside County,2323892,34.8,57972,24443,376689,16.20940216,2016
12, California,San Bernardino County,2106754,32.7,54469,21857,392195,18.61607952,2016
7, California,Mendocino County,87409,42.3,43510,25278,17366,19.86751936,2016
20, California,Glenn County,27976,36.9,41699,20362,5578,19.93851873,2016
30, California,Lake County,64076,45.8,36132,21799,15561,24.2852238,2016
18, California,Solano County,429596,37.5,69227,30251,53265,12.39885846,2016
4, California,Nevada County,98639,49.5,57429,33385,11835,11.99829682,2016
19, California,Del Norte County,27628,38.1,42363,20282,5219,18.89025626,2016
0, California,San Diego County,3253356,35.3,66529,32482,444024,13.6481836,2016
27, California,San Mateo County,754748,39.5,98546,50262,57490,7.617111937,2016
26, California,Calaveras County,44787,51.2,53502,30577,5641,12.59517271,2016
25, California,Ventura County,843110,37.3,78593,34331,88486,10.49519043,2016
