,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,State,county,County,Poverty Rate,Year,Unemployment Count
43,"Shasta County, California",44396.0,177693.0,41.9,23639.0,30820.0,06,089,Shasta County,17.344521168532243,2012,10871.0
44,"Solano County, California",69006.0,414209.0,37.0,29170.0,47415.0,06,095,Solano County,11.44711969078412,2012,22548.0
45,"Del Norte County, California",39626.0,28496.0,38.8,20197.0,5380.0,06,015,Del Norte County,18.879842784952274,2012,1291.0
46,"Glenn County, California",42641.0,28078.0,36.5,21689.0,5383.0,06,021,Glenn County,19.171593418334638,2012,1285.0
47,"Lake County, California",38147.0,64360.0,44.8,21845.0,15036.0,06,033,Lake County,23.362336855189557,2012,4312.0
48,"Modoc County, California",37482.0,9545.0,46.8,20916.0,1829.0,06,049,Modoc County,19.161864850707175,2012,475.0
49,"Inyo County, California",45000.0,18474.0,45.7,27323.0,2035.0,06,027,Inyo County,11.015481216845297,2012,699.0
50,"Santa Barbara County, California",62723.0,423594.0,33.6,30114.0,62240.0,06,083,Santa Barbara County,14.693314825044736,2012,19197.0
51,"Imperial County, California",41255.0,173487.0,31.8,16667.0,37544.0,06,025,Imperial County,21.640814585530904,2012,12743.0
52,"Alameda County, California",71516.0,1515136.0,36.6,35434.0,178897.0,06,001,Alameda County,11.807322906986567,2012,79870.0
53,"Napa County, California",69571.0,136644.0,39.6,35195.0,13341.0,06,055,Napa County,9.763326600509354,2012,6416.0
54,"San Francisco County, California",73802.0,807755.0,38.5,47278.0,104784.0,06,075,San Francisco County,12.972250249147327,2012,39369.0
55,"Colusa County, California",52165.0,21329.0,33.9,21601.0,3206.0,06,011,Colusa County,15.031178208073515,2012,1472.0
56,"Kings County, California",48761.0,151982.0,31.2,18566.0,27679.0,06,031,Kings County,18.212025108236503,2012,8797.0
57,"Fresno County, California",45741.0,930517.0,30.7,20391.0,226967.0,06,019,Fresno County,24.39149419086379,2012,59171.0
0,"San Diego County, California",62962.0,3138265.0,34.8,30668.0,441648.0,06,073,San Diego County,14.07299893412443,2013,155014.0
1,"Tulare County, California",42708.0,446644.0,29.9,17894.0,115313.0,06,107,Tulare County,25.817653433159293,2013,28726.0
2,"Yolo County, California",55918.0,202288.0,30.7,27730.0,37188.0,06,113,Yolo County,18.38369057976746,2013,10585.0
3,"Humboldt County, California",41426.0,134613.0,37.5,23540.0,26600.0,06,023,Humboldt County,19.760350040486433,2013,7426.0
4,"Nevada County, California",57353.0,98509.0,48.5,32346.0,11696.0,06,057,Nevada County,11.873026830035835,2013,5022.0
5,"Alpine County, California",58636.0,1165.0,44.3,25527.0,184.0,06,003,Alpine County,15.793991416309012,2013,51.0
6,"Madera County, California",45625.0,151435.0,33.2,17847.0,32604.0,06,039,Madera County,21.530029385544953,2013,6203.0
7,"Mendocino County, California",43469.0,87497.0,41.8,23306.0,17221.0,06,045,Mendocino County,19.68181766231985,2013,5123.0
8,"Santa Cruz County, California",66519.0,264808.0,36.9,32295.0,37239.0,06,087,Santa Cruz County,14.06264161203589,2013,13123.0
9,"Trinity County, California",36890.0,13638.0,49.8,22905.0,2579.0,06,105,Trinity County,18.91039741897639,2013,854.0
10,"Los Angeles County, California",55909.0,9893481.0,35.1,27749.0,1737224.0,06,037,Los Angeles County,17.55927969134423,2013,580531.0
11,"Riverside County, California",56529.0,2228528.0,33.9,23591.0,355511.0,06,065,Riverside County,15.952727540331555,2013,153115.0
12,"San Bernardino County, California",54090.0,2056915.0,31.9,21332.0,375280.0,06,071,San Bernardino County,18.24479864262743,2013,136314.0
13,"Santa Clara County, California",91702.0,1812208.0,36.4,41513.0,181376.0,06,085,Santa Clara County,10.008564138332906,2013,92839.0
14,"Marin County, California",90839.0,254643.0,44.8,56791.0,19121.0,06,041,Marin County,7.508943894000621,2013,10206.0
15,"Placer County, California",72725.0,355924.0,40.4,34886.0,30850.0,06,061,Placer County,8.667580719479439,2013,17525.0
16,"Siskiyou County, California",37709.0,44503.0,47.1,22293.0,9216.0,06,093,Siskiyou County,20.708716266319126,2013,2862.0
17,"Shasta County, California",44651.0,177966.0,42.1,23670.0,30575.0,06,089,Shasta County,17.180247912522617,2013,10488.0
18,"Solano County, California",67177.0,417258.0,37.1,28929.0,52358.0,06,095,Solano County,12.548111719847192,2013,25056.0
19,"Del Norte County, California",37909.0,28357.0,39.1,19072.0,5406.0,06,015,Del Norte County,19.06407588955108,2013,1268.0
20,"Glenn County, California",43023.0,28054.0,37.2,22148.0,5198.0,06,021,Glenn County,18.528552078135025,2013,1584.0
21,"Butte County, California",43752.0,220542.0,37.0,23787.0,43942.0,06,007,Butte County,19.924549518912496,2013,14353.0
22,"Plumas County, California",45794.0,19586.0,49.9,29806.0,2917.0,06,063,Plumas County,14.893291126314715,2013,1551.0
23,"San Luis Obispo County, California",58697.0,272094.0,39.5,29954.0,36588.0,06,079,San Luis Obispo County,13.446823524223246,2013,11360.0
24,"Kern County, California",48552.0,848204.0,30.8,20295.0,186811.0,06,029,Kern County,22.02430075783656,2013,50233.0
25,"Ventura County, California",76544.0,829017.0,36.6,32930.0,90471.0,06,111,Ventura County,10.913045208964352,2013,41171.0
26,"Calaveras County, California",55295.0,45147.0,50.0,29329.0,4849.0,06,009,Calaveras County,10.740470020156378,2013,2307.0
27,"San Mateo County, California",88202.0,729543.0,39.3,45732.0,54905.0,06,081,San Mateo County,7.525944324049439,2013,32594.0
28,"Tuolumne County, California",48426.0,54728.0,48.0,25943.0,7411.0,06,109,Tuolumne County,13.541514398479755,2013,3965.0
29,"Amador County, California",53684.0,37422.0,49.1,27347.0,4150.0,06,005,Amador County,11.089733311955534,2013,2546.0
30,"Merced County, California",42591.0,258707.0,30.0,18177.0,64490.0,06,047,Merced County,24.927814090844084,2013,20299.0
31,"Mariposa County, California",49820.0,18061.0,50.1,26988.0,2876.0,06,043,Mariposa County,15.923813742317702,2013,1239.0
32,"Yuba County, California",44902.0,72574.0,31.9,19244.0,15392.0,06,115,Yuba County,21.20869732962218,2013,5776.0
33,"Contra Costa County, California",78756.0,1065794.0,38.6,38219.0,111173.0,06,013,Contra Costa County,10.43100261401359,2013,56720.0
34,"Lassen County, California",53107.0,34018.0,37.3,19931.0,3953.0,06,035,Lassen County,11.620318654829797,2013,1509.0
35,"Stanislaus County, California",49297.0,518321.0,33.0,21663.0,104173.0,06,099,Stanislaus County,20.09816310741799,2013,40996.0
36,"Sonoma County, California",63356.0,487469.0,40.2,32835.0,57048.0,06,097,Sonoma County,11.702898030438858,2013,26411.0
37,"Tehama County, California",41924.0,63241.0,39.9,20439.0,12271.0,06,103,Tehama County,19.403551493493147,2013,4217.0
38,"Mono County, California",61757.0,14217.0,37.2,28046.0,1197.0,06,051,Mono County,8.419497784342688,2013,904.0
39,"San Benito County, California",66237.0,56115.0,34.5,25914.0,6639.0,06,069,San Benito County,11.831061213579257,2013,3971.0
40,"Sacramento County, California",55064.0,1435207.0,35.1,26739.0,248304.0,06,067,Sacramento County,17.300918961515656,2013,97193.0
41,"El Dorado County, California",69297.0,180982.0,44.1,34884.0,16206.0,06,017,El Dorado County,8.954481661159674,2013,11030.0
